epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,383.649,0.81064,1.01725,0.87393,0.99846,0.9992,0.99497,0.8622,0.55466,0.82057,0.80285,0.00066,0.00066,0.00066
2,838.453,0.56583,0.44301,0.8221,0.99942,0.99937,0.995,0.89275,0.48388,0.41401,0.79544,0.0013004,0.0013004,0.0013004
3,1219.53,0.55192,0.41106,0.81843,0.99978,0.99981,0.995,0.91586,0.42497,0.36226,0.78492,0.0019144,0.0019144,0.0019144
4,1602.2,0.52203,0.38501,0.8133,0.99995,1,0.995,0.91879,0.40847,0.33869,0.78191,0.0018812,0.0018812,0.0018812
5,1987.8,0.5006,0.35415,0.80921,0.99998,1,0.995,0.9364,0.35335,0.28931,0.77479,0.0018416,0.0018416,0.0018416
6,2390.71,0.4396,0.31746,0.80296,0.99998,1,0.995,0.94469,0.34367,0.27391,0.77416,0.001802,0.001802,0.001802
7,2776.52,0.4233,0.29377,0.79861,0.99998,1,0.995,0.95523,0.32542,0.2531,0.76956,0.0017624,0.0017624,0.0017624
8,3142.48,0.42838,0.28913,0.79738,0.99999,1,0.995,0.94233,0.3426,0.25281,0.77313,0.0017228,0.0017228,0.0017228
9,3507.76,0.40964,0.27798,0.79629,0.99998,1,0.995,0.96197,0.30299,0.23641,0.76647,0.0016832,0.0016832,0.0016832
10,3898.61,0.39792,0.27108,0.7931,0.99998,1,0.995,0.96022,0.30253,0.22612,0.76573,0.0016436,0.0016436,0.0016436
